"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"OMEGA11","0.473","0.00151","0.111","0.302","0.392","0.457","0.536","0.735","5.45e+03","   1"
"OMEGA21","0.25","0.00221","0.116","0.0508","0.173","0.239","0.315","0.518","2.76e+03","   1"
"OMEGA22","0.768","0.00743","0.235","0.431","0.609","0.723","0.883","1.34","1e+03","   1"
"CLHat"," 654","3.68","79.8"," 511"," 599"," 651"," 703"," 820"," 471","   1"
"V2Hat","1.56e+03","18.9"," 292","1.04e+03","1.35e+03","1.54e+03","1.74e+03","2.18e+03"," 239","1.01"
"QHat"," 413","5.44","  83"," 269"," 355"," 405"," 462"," 598"," 233","1.02"
"V3Hat","1.85e+03","10.3"," 156","1.56e+03","1.74e+03","1.85e+03","1.95e+03","2.15e+03"," 227","1.01"
"KAHat","0.286","0.0022","0.0256","0.242","0.267","0.284","0.302","0.342"," 135","1.02"
"F1Chewable","   1","   0","   0","   1","   1","   1","   1","   1","8e+03"," NaN"
"sigma1","2.33","0.0279","0.227","1.96","2.16","2.31","2.47","2.82","66.3","1.03"
