"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"OMEGA11","0.487","0.00922","0.128","0.302","0.394","0.463","0.559","0.802"," 194","1.01"
"OMEGA21","0.0857","0.00965","0.145","-0.201","-0.00135","0.0864","0.17","0.384"," 226","1.01"
"OMEGA22","0.983","0.0188","0.396","0.477","0.705","0.903","1.17","1.91"," 443","   1"
"CLHat"," 656","8.86","99.7"," 489"," 580"," 650"," 724"," 868"," 127","1.05"
"V2Hat","1.09e+03","14.3"," 233"," 658"," 936","1.07e+03","1.23e+03","1.58e+03"," 266","1.01"
"QHat"," 273","1.75","55.3"," 181"," 234"," 267"," 308"," 394","1e+03","   1"
"V3Hat","1.68e+03","5.45"," 162","1.4e+03","1.57e+03","1.67e+03","1.79e+03","2.01e+03"," 879","   1"
"KAHat","0.291","0.000724","0.0203","0.255","0.276","0.289","0.304","0.334"," 787","   1"
"F1Chewable","0.881","0.00801","0.124","0.662","0.795","0.87","0.953","1.15"," 241","1.01"
"sigma1","0.23","0.000539","0.0129","0.206","0.222","0.23","0.239","0.257"," 573","   1"
