"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"OMEGA11","0.135","0.00335","0.0866","0.0434","0.0791","0.111","0.163","0.371"," 652","   1","   1","0.0493","0.111"," 0.3","0.0011","0.0017","0.00246","0.00504","0.0262","0.00237"," 771"," 840"
"OMEGA21","-0.0336","0.00228","0.0667","-0.191","-0.0607","-0.027","-0.000422","0.0861"," 840","0.999","   1","-0.159","-0.027","0.0524","0.0061","0.00284","0.00173","0.00145","0.0142","0.00184"," 888"," 819"
"OMEGA22","0.169","0.00423","0.104","0.0546","0.0986","0.142","0.207","0.479"," 597","   1","   1","0.063","0.142","0.383","0.00181","0.00158","0.00365","0.00654","0.0303","0.00299"," 569"," 834"
"OMEGA13","-0.00534","0.00261","0.062","-0.133","-0.0283","-0.00315","0.0214","0.106"," 553","   1","   1","-0.101","-0.00315","0.0761","0.0175","0.0037","0.0018","0.00153","0.0117","0.00185"," 597"," 503"
"OMEGA23","-0.00751","0.00268","0.0669","-0.151","-0.0343","-0.00681","0.0222","0.13"," 621","   1","   1","-0.113","-0.00681","0.0857","0.0136","0.00267","0.00223","0.0028","0.0116","0.00189"," 575"," 645"
"OMEGA33","0.11","0.0028","0.0761","0.0359","0.0637","0.0866","0.132","0.329"," 713","   1","   1","0.0404","0.0866","0.258","0.00148","0.000968","0.00161","0.00388","0.02","0.00198"," 851"," 846"
"OMEGA14","0.0525","0.00285","0.0782","-0.0632","0.0106","0.0384","0.0791","0.25"," 692","   1","   1","-0.0397","0.0384","0.193","0.00482","0.00124","0.002","0.0044","0.00981","0.00202"," 818"," 760"
"OMEGA24","-0.0724","0.00343","0.09","-0.31","-0.103","-0.0541","-0.0219","0.0596"," 673","   1","   1","-0.25","-0.0541","0.0329","0.0235","0.00477","0.00235","0.00127","0.0104","0.00251"," 797"," 667"
"OMEGA34","-0.00232","0.00275","0.0749","-0.168","-0.032","0.000888","0.0322","0.141"," 725","0.999","   1","-0.121","0.000888","0.102","0.0139","0.00271","0.00175","0.0025","0.0116","0.00194"," 768"," 620"
"OMEGA44","0.199","0.00518","0.142","0.0611","0.11","0.162","0.239","0.585"," 715","   1","   1","0.0696","0.162","0.448","0.00399","0.00275","0.00398","0.00727","0.0412","0.00366"," 778"," 801"
"OMEGA15","-0.00232","0.00259","0.0662","-0.13","-0.0269","-0.00181","0.0257","0.12"," 614","   1","   1","-0.0987","-0.00181","0.0714","0.0104","0.00286","0.0011","0.00218","0.0105","0.00183"," 757"," 852"
"OMEGA25","0.00947","0.00284","0.0646","-0.128","-0.0199","0.00845","0.0375","0.153"," 451","   1","   1","-0.0875","0.00845","0.115","0.0148","0.00242","0.00261","0.0023","0.00816","0.00201"," 461"," 619"
"OMEGA35","0.0196","0.00212","0.0603","-0.0775","-0.00693","0.0121","0.0391","0.158"," 753","   1","   1","-0.0578","0.0121","0.119","0.00613","0.00156","0.00116","0.00163","0.0134","0.00151"," 724"," 749"
"OMEGA45","-0.0165","0.00328","0.0776","-0.18","-0.0488","-0.0132","0.0193","0.122"," 532","   1","   1","-0.146","-0.0132","0.0832","0.0101","0.00295","0.00215","0.00307","0.0169","0.00232"," 519"," 814"
"OMEGA55","0.117","0.0028","0.0833","0.0353","0.065","0.0938","0.142","0.32"," 878","   1","   1","0.0414","0.0938","0.262","0.0016","0.00147","0.00187","0.00364","0.013","0.00216"," 970"," 991"
"OMEGA16","-0.016","0.00215","0.0526","-0.12","-0.0373","-0.0139","0.00623","0.0849"," 578","   1","   1","-0.0956","-0.0139","0.0546","0.00501","0.00161","0.00106","0.00114","0.0153","0.00152"," 627"," 721"
"OMEGA26","0.00682","0.00221","0.0558","-0.116","-0.0172","0.00827","0.0331","0.124"," 613","   1","   1","-0.0789","0.00827","0.0881","0.0137","0.00308","0.00119","0.00172","0.0106","0.00156"," 681"," 594"
"OMEGA36","0.00529","0.00171","0.047","-0.0756","-0.0153","0.00345","0.0258","0.105"," 737","   1","   1","-0.0539","0.00345","0.0761","0.00688","0.00102","0.00108","0.00111","0.0109","0.00121"," 753"," 950"
